session_id	original_session_id
ses-m4+d20+y2022+ant2+0+03x+4+methyl+3+heptanol+40+t131+z0um	ses-m4-d20-y2022-ant2-0.03x-4-methyl-3-heptanol-40-t131-z0um
ses-m4+d20+y2022+ant2+0+03x+4+methyl+3+heptanol+40+t131+z100um	ses-m4-d20-y2022-ant2-0.03x-4-methyl-3-heptanol-40-t131-z100um
ses-m4+d20+y2022+ant2+0+03x+4+methyl+3+heptanol+40+t131+z105um	ses-m4-d20-y2022-ant2-0.03x-4-methyl-3-heptanol-40-t131-z105um
ses-m4+d20+y2022+ant2+0+03x+4+methyl+3+heptanol+40+t131+z10um	ses-m4-d20-y2022-ant2-0.03x-4-methyl-3-heptanol-40-t131-z10um
ses-m4+d20+y2022+ant2+0+03x+4+methyl+3+heptanol+40+t131+z110um	ses-m4-d20-y2022-ant2-0.03x-4-methyl-3-heptanol-40-t131-z110um
ses-m4+d20+y2022+ant2+0+03x+4+methyl+3+heptanol+40+t131+z115um	ses-m4-d20-y2022-ant2-0.03x-4-methyl-3-heptanol-40-t131-z115um
ses-m4+d20+y2022+ant2+0+03x+4+methyl+3+heptanol+40+t131+z120um	ses-m4-d20-y2022-ant2-0.03x-4-methyl-3-heptanol-40-t131-z120um
ses-m4+d20+y2022+ant2+0+03x+4+methyl+3+heptanol+40+t131+z125um	ses-m4-d20-y2022-ant2-0.03x-4-methyl-3-heptanol-40-t131-z125um
ses-m4+d20+y2022+ant2+0+03x+4+methyl+3+heptanol+40+t131+z130um	ses-m4-d20-y2022-ant2-0.03x-4-methyl-3-heptanol-40-t131-z130um
ses-m4+d20+y2022+ant2+0+03x+4+methyl+3+heptanol+40+t131+z135um	ses-m4-d20-y2022-ant2-0.03x-4-methyl-3-heptanol-40-t131-z135um
ses-m4+d20+y2022+ant2+0+03x+4+methyl+3+heptanol+40+t131+z140um	ses-m4-d20-y2022-ant2-0.03x-4-methyl-3-heptanol-40-t131-z140um
ses-m4+d20+y2022+ant2+0+03x+4+methyl+3+heptanol+40+t131+z145um	ses-m4-d20-y2022-ant2-0.03x-4-methyl-3-heptanol-40-t131-z145um
ses-m4+d20+y2022+ant2+0+03x+4+methyl+3+heptanol+40+t131+z150um	ses-m4-d20-y2022-ant2-0.03x-4-methyl-3-heptanol-40-t131-z150um
ses-m4+d20+y2022+ant2+0+03x+4+methyl+3+heptanol+40+t131+z155um	ses-m4-d20-y2022-ant2-0.03x-4-methyl-3-heptanol-40-t131-z155um
